date,exercise,variant,set1weight,set1reps,set2weight,set2reps,set3weight,set3reps,set4weight,set4reps,set5weight,set5reps,set6weight,set6reps
2016-11-20,bench,barbell,95,5,115,5,135,5,157.5,5,185,4,135,15
2016-11-20,row,barbell,95,5,117.5,5,140,5,165,5,190,4,140,11
2016-11-20,tricep extension,cable - angle bar,170,10,170,10,170,10
2016-11-23,squat,low bar,160,5,200,5,240,5,280,5,320,5,240,8
2016-11-23,bench,barbell,95,5,115,5,140,5,162.5,5,185,5,140,13
2016-11-23,row,barbell,95,5,120,5,142.5,5,167.5,5,190,5,142.5,10
2016-11-23,tricep extension,cable - angle bar,175,8,175,8,175,8
2016-11-25,squat,low bar,160,5,200,5,240,5,240,5
2016-11-25,press,barbell,85,5,102.5,5,117.5,5,135,5,102.5,5
2016-11-25,deadlift,barbell,135,5,202.5,5,245.5,5,282.5,5,322.5,5,245.5,8
2016-11-25,bicep curl,barbell,82.5,10,82.5,10,82.5,10
2016-11-27,squat,low bar,160,5,200,5,240,5,280,5,327.5,4,240,10
2016-11-27,bench,barbell,95,5,115,5,140,5,162.5,5,190,5,140,15
2016-11-27,row,barbell,95,5,120,5,142.5,5,167.5,5,195,4,142.5,10
2016-11-27,tricep extension,cable - angle bar,175,10,175,9,175,8
2016-11-30,squat,low bar,165,5,205,5,245,5,287.5,5,327.5,5,245,5
2016-11-30,bench,barbell,95,5,120,5,142.5,5,167.5,5,190,5,142.5,13
2016-11-30,row,barbell,97.5,5,122.5,5,147.5,5,170,5,195,5,147.5,10
2016-12-02,squat,low bar,165,5,205,5,245,5,245,5
2016-12-02,press,barbell,85,5,102.5,5,120,5,137.5,5,102.5,8
2016-12-02,deadlift,barbell,135,5,207.5,5,247.5,5,290,5,330,5
2016-12-02,pullup,medium overhand grip,194.2,4,194.2,3,194.2,3
2016-12-02,bicep curl,barbell,85,9,85,9,85,8
2016-12-04,squat,low bar,165,5,205,5,245,5,287.5,5,337.5,4,245,8
2016-12-04,bench,barbell,95,5,120,5,142.5,5,167.5,5,195,5,142.5,13
2016-12-04,row,barbell,97.5,5,122.5,5,147.5,5,170,5,200,4,147.5,10
2016-12-04,tricep extension,cable - angle bar,175,10,175,8,175,7
2016-12-07,squat,low bar,170,5,210,5,252.5,5,295.5,5,295,5,337.5,5
2016-12-07,bench,barbell,97.5,5,122.5,5,147.5,5,170,5,195,5
2016-12-07,row,barbell,100,5,125,5,150,5,175,5,200,5
2016-12-07,tricep extension,cable - angle bar,180,10,180,10,180,8
2016-12-09,squat,low bar,170,5,210,5,252.5,5,252.5,5
2016-12-09,press,barbell,90,5,107.5,5,125,5,142.5,1
2016-12-09,deadlift,barbell,135,5,212.5,5,255,5,297.5,5,340,5
2016-12-09,bicep curl,barbell,90,8,90,7,90,6
2016-12-09,pullup,medium overhand grip,195.2,4,195.2,4,195.2,4
2016-12-11,squat,low bar,170,5,210,5,252.5,5,295,5,345,3,252.5,8
2016-12-11,bench,barbell,97.5,5,125,5,147.5,5,170,5,200,4,147.5,13
2016-12-11,row,barbell,100,5,125,5,150,5,175,5,205,4,150,11
2016-12-11,tricep extension,cable - angle bar,185,8,185,7,185,7
2016-12-14,squat,low bar,172.5,5,215,5,260,5,302.5,5,345,5
2016-12-14,bench,barbell,100,5,125,5,150,5,175,5,200,5,150,11
2016-12-14,row,barbell,102.5,5,127.5,5,155,5,180,5,205,5,155,8
2016-12-17,squat,low bar,172.5,5,215,5,260,5,260,5
2016-12-17,press,barbell,90,5,107.5,5,125,5,142.5,5,107.5,8
2016-12-17,deadlift,barbell,135,5,217.5,5,260,5,305,5,347.5,5
2016-12-17,pullup,medium overhand grip,195,5,195,4,195,2
2016-12-17,bicep curl,barbell,90,8,90,8,90,6
2016-12-24,squat,low bar,162.5,5,202.5,5,242.5,5,282.5,5,322.5,5
2016-12-24,bench,barbell,95,5,115,5,140,5,162.5,5,185,5,140,13
2016-12-24,row,barbell,95,5,120,5,142.5,5,167.5,5,190,5
2016-12-24,tricep extension,cable - angle bar,155,10,155,10,155,10
2016-12-26,squat,low bar,162.5,5,202.5,5,242.5,5,242.5,5
2016-12-26,press,barbell,82.5,5,100,5,115,5,132.5,5
2016-12-26,deadlift,barbell,135,5,202.5,5,242.5,5,282.5,5,322.5,5
2016-12-26,pullup,medium overhand rock grip,196.8,4,196.8,4,196.8,4
2016-12-26,bicep curl,barbell,90,7,90,7,90,7
2016-12-28,squat,low bar,162.5,5,202.5,5,232.5,5,282.5,5,330,3,242.5,8
2016-12-28,bench,barbell,95,5,115,5,140,5,162.5,5,190,5,140,15
2016-12-28,row,barbell,95,5,120,5,142.5,5,167.5,5,195,5,142.5,10
2016-12-28,tricep extension,cable - angle bar,160,10,160,10,160,10
2016-12-31,squat,low bar,165,5,207.5,5,247.5,5,290,5,330,5
2016-12-31,bench,barbell,95,5,120,5,142.5,5,167.5,5,190,5,142.5,15
2016-12-31,row,barbell,97.5,5,122.5,5,147.5,5,170,5,195,5,147.5,10
2016-12-31,tricep extension,cable - flat bar,165,10,165,10,165,10
2017-01-02,squat,low bar,165,5,207.5,5,247.5,5,247.5,5
2017-01-02,press,barbell,85,5,102.5,5,117.5,5,135,5
2017-01-02,deadlift,barbell,135,5,207.5,5,247.5,5,290,5,330,5
2017-01-02,pullup,medium overhand grip,197.8,5,197.8,4,197.8,3
2017-01-02,bicep curl,barbell,90,7,90,7,90,7
2017-01-04,squat,low bar,165,5,207.5,5,247.5,5,290,5,340,3,247.5,8
2017-01-04,bench,barbell,95,5,120,5,147.5,5,167.5,5,195,4,147.5,13
2017-01-04,row,barbell,97.5,5,122.5,5,147.5,5,170,5,200,5,147.5,10
2017-01-07,squat,low bar,170,5,212.5,5,255,5,297.5,5,340,5
2017-01-07,bench,barbell,97.5,5,122.5,5,147.5,5,170,5,195,5,147.5,13
2017-01-07,row,barbell,100,5,125,5,150,5,175,5,200,5
2017-01-07,tricep extension,cable,170,9,170,9,170,9
2017-01-09,squat,low bar,170,5,212.5,5,255,5,255,5
2017-01-09,press,barbell,87.5,5,105,5,122.5,5,140,5
2017-01-09,deadlift,barbell,135,5,212.5,5,255,5,297.5,5,340,5
2017-01-09,bicep curl,barbell,90,8,90,8
2017-01-09,pullup,medium overhand grip,200,4,200,4
2017-01-11,squat,low bar,170,5,212.5,5,255,5,297.5,5,347.5,3,255,8
2017-01-11,bench,barbell,97.5,5,122.5,5,147.5,5,170,5,200,5,147.5,12
2017-01-11,row,barbell,100,5,125,5,150,5,175,5,205,4,150,9
2017-01-11,tricep extension,cable,170,10,170,10,170,8
